Word,Frequency
how,92
epithelial,9
tissues,15
joined,13
together,22
cross,6
section,9
sclerenchyma,1
fibers,2
plant,10
ground,5
tissue,9
how,92
epithelial,9
tissues,15
joined,13
together,22
microscopic,1
view,10
histologic,1
specimen,1
human,46
lung,3
tissue,9
stained,1
hematoxylin,1
eosin,1
how,92
epithelial,9
tissues,15
joined,13
together,22
in,210
biology,1
tissue,9
cellular,4
organizational,2
level,15
intermediate,2
cells,21
complete,3
organism,2
how,92
epithelial,9
tissues,15
joined,13
together,22
a,111
tissue,9
ensemble,2
similar,8
cells,21
origin,8
together,22
carry,3
specific,8
function,17
how,92
epithelial,9
tissues,15
joined,13
together,22
organs,2
formed,14
functional,3
grouping,2
together,22
multiple,21
tissues,15
how,92
epithelial,9
tissues,15
joined,13
together,22
the,648
study,7
tissue,9
known,138
histology,1
connection,2
disease,14
histopathology,1
how,92
epithelial,9
tissues,15
joined,13
together,22
the,648
classical,7
tools,2
studying,2
tissues,15
paraffin,1
block,8
tissue,9
embedded,2
sectioned,1
histological,1
stain,1
optical,4
microscope,1
how,92
epithelial,9
tissues,15
joined,13
together,22
in,210
last,22
couple,2
decades,10
developments,2
electron,2
microscopy,2
immunofluorescence,1
use,41
frozen,1
tissue,9
sections,4
enhanced,1
detail,2
observed,3
tissues,15
how,92
epithelial,9
tissues,15
joined,13
together,22
with,18
tools,2
classical,7
appearances,8
tissues,15
examined,2
health,7
disease,14
enabling,1
considerable,1
refinement,1
clinical,1
diagnosis,4
prognosis,3
big,27
bmc,9
software,20
houston,7
tx,5
bmc,9
software,20
inc,2
american,137
company,29
specializing,1
business,12
service,20
management,17
bsm,2
software,20
big,27
bmc,9
software,20
houston,7
tx,5
headquartered,2
houston,7
texas,22
bmc,9
develops,3
markets,5
sells,2
software,20
used,108
multiple,21
functions,13
including,56
it,146
service,20
management,17
data,25
center,22
automation,1
performance,16
management,17
virtualization,2
lifecycle,2
management,17
cloud,2
computing,5
management,17
big,27
bmc,9
software,20
houston,7
tx,5
the,648
name,102
bmc,9
taken,5
surnames,1
three,78
foundersscott,1
boulette,1
john,49
moores,1
dan,1
cloer,1
big,27
bmc,9
software,20
houston,7
tx,5
employing,3
bmc,9
often,42
credited,4
pioneering,1
bsm,2
concept,8
way,32
help,5
better,12
align,2
it,146
operations,5
business,12
needs,1
big,27
bmc,9
software,20
houston,7
tx,5
for,29
company,29
recorded,10
annual,10
revenue,5
billion,14
making,19
largest,36
software,20
company,29
terms,14
revenue,5
year,100
long,49
love,36
lucy,14
air,34
i,44
love,36
lucy,14
american,137
television,41
sitcom,2
starring,10
lucille,2
ball,1
desi,1
arnaz,2
vivian,1
vance,1
william,9
frawley,1
long,49
love,36
lucy,14
air,34
the,648
blackandwhite,1
series,75
originally,15
ran,5
october,22
may,112
columbia,1
